Key,routineStart,routineEnd,participant_id
2Item7,1676985095,1676985116,2
2Item8,1676985117,1676985131,2
2Item9,1676985132,1676985161,2
2Item10,1676985164,1676985184,2
3spl1,1676985259,1676985270,2
3Item15,1676985271,1676985281,2
3Item2,1676985281,1676985300,2
3Item5,1676985300,1676985314,2
3Item12,1676985314,1676985330,2
3Item6,1676985330,1676985346,2
3Item8,1676985346,1676985364,2
3Item7,1676985364,1676985379,2
3Item9,1676985379,1676985391,2
1spl1,1678717040,1678717059,3
1spl2,1678717059,1678717080,3
1Item1,1678717080,1678717105,3
1Item2,1678717105,1678717132,3
1Item3,1678717132,1678717149,3
1Item4,1678717149,1678717173,3
1Item5,1678717173,1678717256,3
1Item6,1678717256,1678717276,3
1Item7,1678717276,1678717296,3
1Item8,1678717296,1678717326,3
1Item9,1678717326,1678717357,3
1Item10,1678717357,1678717377,3
2spl1,1678717516,1678717524,3
2spl2,1678717527,1678717538,3
2Item1,1678717543,1678717553,3
2Item2,1678717555,1678717565,3
2Item3,1678717566,1678717587,3
2Item4,1678717588,1678717608,3
2Item5,1678717609,1678717633,3
2Item6,1678717634,1678717652,3
2Item7,1678717653,1678717704,3
2Item8,1678717705,1678717745,3
2Item9,1678717746,1678717774,3
2Item10,1678717775,1678717825,3
3spl1,1678717906,1678717912,3
3Item15,1678717918,1678717928,3
3Item2,1678717928,1678717937,3
3Item5,1678717937,1678717943,3
3Item12,1678717943,1678717957,3
3Item6,1678717957,1678717964,3
3Item8,1678717964,1678717974,3
3Item7,1678717974,1678717987,3
3Item9,1678717987,1678717993,3
3Item17,1678717993,1678718004,3
3Item19,1678718004,1678718007,3
3Item11,1678718007,1678718011,3
3Item4,1678718011,1678718019,3
3Item13,1678718019,1678718025,3
3Item10,1678718025,1678718029,3
3Item14,1678718029,1678718034,3
3Item3,1678718034,1678718037,3
3Item20,1678718037,1678718039,3
1spl1,1676378841,1676378850,4
1spl2,1676378850,1676378860,4
1Item1,1676378860,1676378876,4
1Item2,1676378876,1676378901,4
1Item3,1676378901,1676378931,4
1Item4,1676378931,1676378958,4
1Item5,1676378958,1676378973,4
1Item6,1676378973,1676378991,4
1Item7,1676378991,1676379025,4
1Item8,1676379025,1676379050,4
1Item9,1676379050,1676379075,4
1Item10,1676379075,1676379094,4
2spl1,1676379183,1676379192,4
2spl2,1676379195,1676379203,4
2Item1,1676379205,1676379218,4
2Item2,1676379222,1676379237,4
2Item3,1676379240,1676379256,4
2Item4,1676379258,1676379290,4
2Item5,1676379291,1676379311,4
2Item6,1676379313,1676379332,4
2Item7,1676379333,1676379353,4
2Item8,1676379354,1676379365,4
2Item9,1676379369,1676379383,4
2Item10,1676379385,1676379408,4
3spl1,1676379474,1676379482,4
3Item15,1676379486,1676379494,4
3Item2,1676379494,1676379497,4
3Item5,1676379497,1676379503,4
3Item12,1676379503,1676379514,4
3Item6,1676379514,1676379518,4
3Item8,1676379518,1676379531,4
3Item7,1676379531,1676379537,4
3Item9,1676379537,1676379547,4
